,word,frequency,rank,ln_frequency,ln_rank
1393,clock,7,2328,1.9459101490553132,7.752764808851328
2066,glory,7,2329,1.9459101490553132,7.753194269884341
4604,arrest,7,2330,1.9459101490553132,7.753623546559746
9502,melodic,7,2331,1.9459101490553132,7.754052639035757
9456,5/5,7,2332,1.9459101490553132,7.754481547470383
898,dom,7,2333,1.9459101490553132,7.75491027202143
4670,hi,7,2334,1.9459101490553132,7.755338812846501
6086,building,7,2335,1.9459101490553132,7.755767170102998
4681,handle,7,2336,1.9459101490553132,7.756195343948118
2854,soft,7,2337,1.9459101490553132,7.756623334538858
781,minor,7,2338,1.9459101490553132,7.757051142032013
6605,foreign,7,2339,1.9459101490553132,7.757478766584179
3479,needs,7,2340,1.9459101490553132,7.757906208351747
4703,booth,7,2341,1.9459101490553132,7.75833346749091
2160,82,7,2342,1.9459101490553132,7.758760544157663
797,range,7,2343,1.9459101490553132,7.759187438507795
10023,ave,7,2344,1.9459101490553132,7.759614150696903
6598,beast,7,2345,1.9459101490553132,7.76004068088038
2153,80,7,2346,1.9459101490553132,7.76046702921342
3909,casanova,7,2347,1.9459101490553132,7.760893195851024
2146,78,7,2348,1.9459101490553132,7.761319180947987
7019,switch,7,2349,1.9459101490553132,7.761744984658913
4694,brighter,7,2350,1.9459101490553132,7.762170607138205
2142,77,7,2351,1.9459101490553132,7.762596048540069
7910,finish,7,2352,1.9459101490553132,7.763021309018518
6069,grabbed,7,2353,1.9459101490553132,7.763446388727362
2138,76,7,2354,1.9459101490553132,7.763871287820222
